
===================================================Profiling===================================================
Function                           Calls                  Time %                 Total                  Moy         
loadMiniatures                     2                      0.57                   0.11505572             0.057527861824459486
loadImages                         1                      9.78                   1.96654210             1.9665421069924691
onMouseEvent                       212                    0.01                   0.00330319             1.5581111575426407e-05
GetTile                            186639                 6.71                   1.34938313             7.2299098243073206e-06
tileListToImage                    9                      9.49                   1.90731286             0.21192365218478632
loadMainImg                        1                      0.08                   0.01770225             0.0177022550929129
colorTile                          37                     0.20                   0.04165024             0.0011256821959059148
onNewDefault                       1                      12.6                   2.53866230             2.538662304221476
loadFromTxt                        1                      0.14                   0.02833206             0.028332068530551924
loadMainTiles                      1                      0.09                   0.01916312             0.019163129655717162
processTileTypes                   1                      2.07                   0.41612862             0.4161286240611073

===================================================Profiling===================================================
Function                           Calls                  Time %                 Total                  Moy         
loadMainImg                        2                      0.01                   0.03390242             0.016951213864232262
tileListToImage                    9                      0.62                   1.86600177             0.2073335303370534
loadImages                         1                      0.64                   1.92720169             1.9272016958689635
onNewDefault                       1                      0.85                   2.56099917             2.560999171101378
loadMiniatures                     3                      0.07                   0.22794821             0.0759827383897972
GetTile                            186639                 0.44                   1.32899179             7.120654289736696e-06
loadFromTxt                        1                      0.03                   0.09623465             0.09623465598519143
onMouseEvent                       487                    0.00                   0.00755927             1.5522132003986414e-05
colorTile                          37                     0.01                   0.03580637             0.0009677399547477768
processTileTypes                   1                      0.13                   0.40674598             0.40674598760918723
loadMainTiles                      1                      0.00                   0.01614474             0.016144742547297003

===================================================Profiling===================================================
Function                           Calls                  Time %                 Total                  Moy         
loadMainImg                        1                      0.04                   0.01764974             0.017649742377724653
processTileTypes                   1                      1.02                   0.41569065             0.4156906534295728
colorTile                          37                     0.08                   0.03633077             0.0009819128684941403
onNewDefault                       1                      6.08                   2.46366065             2.463660654082335
GetTile                            186639                 3.23                   1.31258850             7.032766470281571e-06
tileListToImage                    9                      4.52                   1.83431399             0.20381266623708338
loadMainTiles                      1                      0.04                   0.01637412             0.016374121004612004
onMouseEvent                       165                    0.00                   0.00261396             1.584221980083974e-05
loadFromTxt                        1                      0.07                   0.02972511             0.029725114169571576
loadImages                         1                      4.67                   1.89302394             1.8930239410573946
loadMiniatures                     2                      0.27                   0.11317584             0.056587920689754635

===================================================Profiling===================================================
Function                           Calls                  Time %                 Total                  Moy         
loadFromTxt                        1                      0.10                   0.02856181             0.028561811659500336
loadMainImg                        1                      0.06                   0.01788677             0.017886778939337766
GetTile                            186639                 5.06                   1.33479809             7.1517640885718955e-06
processTileTypes                   1                      1.54                   0.40705231             0.40705231178111845
colorTile                          37                     0.13                   0.03680995             0.0009948636394696377
tileListToImage                    9                      7.11                   1.87336631             0.20815181296299878
onNewDefault                       1                      9.52                   2.50873443             2.5087344326238163
loadMiniatures                     2                      0.47                   0.12498135             0.0624906780813749
loadMainTiles                      1                      0.06                   0.01770006             0.017700067063113355
loadImages                         1                      7.34                   1.93404694             1.9340469470967214
onMouseEvent                       194                    0.00                   0.00224273             1.1560466724195752e-05

===================================================Profiling===================================================
Function                           Calls                  Time %                 Total                  Moy         
loadMainTiles                      1                      0.20                   0.01829958             0.01829958722817833
colorTile                          37                     0.50                   0.04396772             0.0011883170129143583
onNewDefault                       1                      28.4                   2.50091259             2.500912590762211
GetTile                            186639                 15.0                   1.32178442             7.082037654630798e-06
onMouseEvent                       139                    0.01                   0.00174240             1.2535259450895988e-05
processTileTypes                   1                      4.68                   0.41162274             0.4116227413606557
loadMiniatures                     3                      2.63                   0.23209343             0.07736447920818629
loadMainImg                        2                      0.34                   0.03002341             0.0150117077827856
loadImages                         1                      21.9                   1.93052312             1.9305231251046155
loadFromTxt                        1                      0.33                   0.02963868             0.029638686992490948
tileListToImage                    9                      21.2                   1.86709214             0.20745468235743353

===================================================Profiling===================================================
Function                           Calls                  Time %                 Total                  Moy         
loadMainTiles                      1                      0.45                   0.01748636             0.01748636948602815
loadMiniatures                     1                      0.19                   0.00752755             0.007527551853571207
GetTile                            15                     0.06                   0.00249289             0.00016619301899368038
colorTile                          17                     0.48                   0.01896073             0.001115337464662515
onMouseEvent                       22                     0.00                   0.00025016             1.1371124564107684e-05
